Lekwungen Word,English Translation
kʷəlítšən,"Chinook; king salmon; spring salmon -plural, more than one"
kʷəmiéyqən,Placename: Stone Church
kʷəneŋətəŋ,helped; be saved; be rescued
kʷəniŋət,running
kʷəntis,hold (while moving)
kʷənéŋəɬ,helper; old dancer's helper
kʷənéŋəs,"help, give help"
kʷənéŋət,help someone; save; rescue
kʷənéŋətəl,"helpful, be helpful"
kʷənéŋətəlxʷ,"helpful, be helpful; help us"
kʷənétəŋ,held; be held by
kʷənísən,"button, ""fastener"""
kʷənəléx̣ət,take his/her arm
kʷənəsči,take someone
kʷən̓téls(t),holding on
kʷən̓tíxʷ,carry it
kʷən̓éŋəs če,help me
kʷən̓ét,"hold it, fasten it, take it, find it"
kʷəskʷáw,"fall (from a hieght), fall down, stumble; to knock down"
kʷəstéw̓əč,"Placename: Village in Cadboro Bay. Tranlsated as ""Beach exposed to the weather""."
kʷəx̣ʷnəkʷəls,"quarrel with each other, argue with each other"
kʷəńsənéɬ,debt; owe money; obliged to make payment
kʷə́ləŋ,"fly, to fly"
kʷə́ləsət,capsize it
kʷə́l̓əsət,capsizing
"1. orca; Grampus rectipinna; (the chief of the whale people, killer whale is never killed nor eaten. Eagle downis thrown on the wsater when one is seen to propitiate its fpirit and gain help in seal hunting. Sea hunters become","2. killer whales at death; the orca spirit is associated with x̣ənx̣ənítəl (Barnett 1955:63, 93: Stern 1934:87)."
kʷə́nəs,"hold (take hold, take, find); catch"
kʷə́nət,take it
kʷə́nəxʷ,"acquire, have, get, find"
kʷə́n̓təl̓,with; be with; beside
kʷə́ŋəsəs,eagle
k̓ʷes,sweat
k̓ʷəw̓yəkʷ,"fish, to fish"
k̓ʷic̓,"butcher; be cleaned (as fish, fowl, or game); cut up; skin an animal"
k̓ʷik̓ʷawəɬ,fishing canoe
k̓ʷik̓ʷəw̓yəwkʷ,many fishing with hooks
k̓ʷsəč,trout (any)
k̓ʷsəŋ,"counted, to be counted"
k̓ʷsət,"count it/them, count over"
k̓ʷsə́nəq,advise (to give advice)
k̓ʷáləxʷ,dog salmon
k̓ʷámk̓ʷəm̓,strong
k̓ʷánət̓,porpoise
k̓ʷéʔləs,"hot, warm"
k̓ʷék̓ʷey̓,hungry
k̓ʷéləs sqʷəqʷə́lʔ,sunshine (hot sun)
k̓ʷéɬəl,one of the vertical side lines on the front of a reef net
k̓ʷéssət,heat; make it hot
k̓ʷét̓ən,rat
k̓ʷíʔšətəŋ,take many steps
k̓ʷíʔwəc̓; k̓ʷiʔəwəʔəc̓,"butchering; cleaning fish, fowl or game (unconfirmed)"
k̓ʷíc̓ət,"butcher; clean it (fish, fowl, or game)"
k̓ʷíc̓ətəs,"she/he/they butcher it (fish, fowl, or game)"
k̓ʷíkʷəɬ,fishing canoe
k̓ʷík̓ʷən,how many?
k̓ʷíɬəw̓,stay with in-law
k̓ʷəʔičən,bear (grizzly)
k̓ʷəc̓áyč,"Placename: today called Gordon Head, the point of land to the south of Margaret Bay and Cordova Bay."
k̓ʷək̓ʷét̓ən,mouse
k̓ʷəléɬəl,vertical side lines on the front of a reef net
k̓ʷəlíʔt̓šnʔ,salmon (spring salmon-more than one)
k̓ʷəlíw,"fur, pelt"
k̓ʷənʔ,"protect, care for all the time"
k̓ʷənʔk̓ʷə́nt,looking and looking; watching all the time
k̓ʷənʔsk̓ʷənʔsat,respect
k̓ʷənaŋə,see you
k̓ʷəna̓ŋəs,see me
k̓ʷəneɬ,how often?
k̓ʷənstxʷ,show (to cause to look)
k̓ʷənsínəŋ,cook; prepare a meal or feast
k̓ʷəntís,see it (while in motion)
k̓ʷənáŋət,able to see
k̓ʷənéləʔ,how many people
k̓ʷənəsčí,you are looking at me
k̓ʷənəsəŋ,look into ; look out of; look through
k̓ʷən̓sát,look after yourself
k̓ʷən̓tíŋ',being watched
k̓ʷən̓ət,look after; take care of
k̓ʷəstsxʷ,you should count it over
k̓ʷəwʔyəwk̓ʷ,fishing
k̓ʷəwʔə́ywkʷ,fishing (with a hook)
k̓ʷəx̣c̓ək̓ʷeɬpč (?),spruce (č̓č̓aɬč KLM. Sitka spruce: c̓q̓eʔiɬč SEN. spruce: č̓k̓ʷəɬp SEN)
k̓ʷə́ləw̓,skin; hide
k̓ʷə́ləw̓ ʔəƛ̓ smáyəs,deer hide
k̓ʷə́nələ,"see with glasses (spyglass, etc.)"
k̓ʷə́nəɬ,looking; be looking
k̓ʷə́nəs,look at; stare
k̓ʷə́nəxʷ,see it
k̓ʷə́n̓sk̓ʷən̓,"protect, care for all the time"
k̓ʷə́n̓təŋ,cared for; be cared for; taken care of; protected; being seen
k̓ʷə́n̓əɬ,looking; gazing
k̓ʷə́n̓ət,look at it
k̓ʷə́ŋət,bring up; raise
k̓ʷə́stəŋ,advised; be given advice; receive private knowledge
k̓ʷə́stəŋ,I am counting them
k̓ʷə́tšən,hail
k̓ʷə́wk̓ʷət,pocket knife
k̓ʷə́w̓yəwkʷ,fish with a hook
k̓ʷə́xʷəlʔməxʷ,ashes
laƛ̓,elder sibling
leʔ,at; distant; be distant (in space or time); be behind
leʔ ʔə cə léʔə,over there
leʔə tə́w̓lə,there; far away; out of sight
lelúut,train
lem,"rum, whiskey, liquor"
lepláš,plank (of wood)
let̓,clean; to clean
lil̓,far; be far
lisék,bag; sack
liyám,devil
láʔsən,plate
léʔeƛ̓,live there; reside in that place; be there (at a place near to the speaker)
léʔnəŋ,hear
léʔnəxʷ,manage to fix
léʔsət,alright; be ready; satisfactory
léʔə,there; at a place
léʔə təw̓lə,there; be there our of sight; over there (beyond sight)
léʔəl,"live, reside far away; be far away, at a distance"
léʔət,"put up; set up (as a house, tipi or tent)"
líiməs,"April: ""Wild geese are flying"""
líləʔ,salmonberry (both berries and sprouts were gathered during the summer.
líl̓əŋ,"far off; be made far, eg.carried far off"
ləkʷə́x̣,ribs
"1. Lekwungen; People of the Songhees and Esquimalt (šxʷimeɫəɫ a.k.a x̣ʷsepsəm) nations; has been translated as ""land of smoked herring"". Esquimalt and Songish, Straits Salish speakers with traditional villages between Parry Bay",2. and Cordova Bay on the south-eastern tip of Vancouver Island (Duff 1964:28)
ləláʔsən,plates
ləléʔnəŋ,hear
ləléʔnəŋ,witness
ləléʔnəŋ,listen for a long time; hear repeatedly
ləléʔn̓əŋ',"hear, listen"
ləlíʔləŋ,clean; to clean
lələŋsat,eavesdrop; pay attention to; listen to; hear
ləméʔtəlxʷ,kick us
ləmətúu,sheep
ləŋʔsát,obey
ləpat,big dipper
ləpláš,board
ləpəlít,"priest, Roman Catholic missionary"
ləšál,shawl
lətém,table
ləx̣ʷənə,wild goose
ləkəli,key
ləkəwín,"cross, crucifix"
lə́ləč̓,tall plant used as medicine for sorrow (needs confirmation)
ɬʔéyətəs,eat cod
ɬc̓éqʷt,cut hair
ɬc̓íŋən,comb; a comb
ɬc̓ísət,cut oneself
ɬc̓ísətsən,cut oneself
ɬc̓ísətəŋ,cut… be cut
ɬc̓ítəŋ,cut (to be cut)
ɬc̓ítəŋsən,cut (I was cut by him)
ɬčíkʷəs,tire; be tired
ɬčəx̣,half; fifty cent piece : Half-dollars are an important item<br />of distribution at modern potlatches and spirit dances (Barnett 1955:134)
ɬeʔe,this
ɬeč,dark; be dark
ɬeel,get to shore
ɬeq̓ət,lower it
ɬew̓,escape; flee; seek refuge
ɬew̓,recover from illness; get well; convalesce
ɬiʔe,this here; near me
ɬic̓,cut (to cut)
ɬic̓,cut
ɬic̓ət,cut it
ɬik̓ʷ,snag; hook; get hooked
ɬil,gift (to give a gift)
ɬil,give a gift; gift (verb)
ɬiltxʷ,cause one's gift to be given
ɬixʷ,three
ɬixʷelə,group of three; three at a time; three humans
ɬixʷs néč̓əw̓əč̓̌ - ɬixʷele,three hundred
ɬixʷélə ʔə tə nəc̓exʷ,three at a time
ɬixʷələč,three hundred
ɬkʷáʔwəs,last one; be the last one
ɬléɬlayakʷ,Placename: small island half way to sqəŋinəs Island. Also spelled Thleethlayakw (Grant Keddie 2003 p.54)
ɬmeʔénš,smoke a cigarette
ɬniŋəɬ,"we; first person plural predicative, emphatic (e.g. it was we who did it)"
ɬníŋəɬ,we; us (first person plural predicative pronoun)
ɬŋéʔəŋ',being detached; removed
ɬqit,dress; to wear clothes
ɬqn̓ʔétn,anchor
ɬqít,dress: skirt
ɬq̓it,clothes
ɬq̓its,clothes (her clothes)
ɬq̓éčəs,five
ɬq̓əčsélətxʷ,five dollars
ɬq̓əčəɬšeʔ ʔiʔ kʷ c̓akʷəs,fifty-seven
ɬq̓əčəɬšeʔ ʔiʔ kʷ čəsə,fifty-two
ɬq̓əčəɬšeʔ ʔiʔ kʷ ɬixʷ,fifty-three
ɬq̓əčəɬšeʔ ʔiʔ kʷ ɬq̓ečəs,fifty-five
ɬq̓əčəɬšeʔ ʔiʔ kʷ nəc̓ə,fifty-one
ɬq̓əčəɬšeʔ ʔiʔ kʷ ŋəs,fifty-four
ɬq̓əčəɬšeʔ ʔiʔ kʷ teʔsəs,fifty-eight
ɬq̓əčəɬšeʔ ʔiʔ kʷ təkʷəwxʷ,fifty-nine
ɬq̓əčəɬšeʔ ʔiʔ kʷ t̓xəŋ,fifty-six
ɬq̓əčəɬšéʔ,fifty
ɬq̓ət,flatten; make flat; wide
ɬq̓ʷast,"slap, strike in the face"
ɬq̓ʷálnəs,gums
ɬq̓ʷátəŋ,raped; rape someone
ɬq̓ʷənkʷéstəŋ,pry out (to have guts pried out )
ɬq̓ʷət,pry (it) out
ɬtəw̓,some; a bit
ɬti,tea
ɬtə,we; first person plural
ɬtə́x̣təŋ,nervous; be made nervous; jittery
ɬxʷelətxʷ,three dollars
ɬxʷeɬ,thrice; three times
ɬx̣ən̓ákʷən,floor
ɬx̣ʷélə ʔə tə nəc̓éxʷ,three at a time; three at once
ɬáləŋ,"abandoned, be left behind"
ɬáləs,leave it
ɬáɬəq̓ʷ,undressed; be undressed
ɬáq̓ʷsət,slap onself
ɬáq̓ʷəŋ,get undressed
ɬáq̓ʷət,slap; hit lightly; tap
ɬáq̓ʷətəŋ,slapped; be slapped
ɬéləs (?),get to shore (plural)
ɬéw̓qəm̓,mussel
ɬíc̓nəs,cut off
ɬíc̓ət,cut it
ɬík̓ʷn̓,gaff hook
ɬíɬəl,receive a gift
ɬíŋəs,pull it out (s/he pulls it out)
ɬíŋəst,stand something up; line it up
ɬíŋəstxʷ,"put up, cause to be put up"
ɬíx̣ʷəm,slippery; slimy
ɬíx̣ʷəŋ,slippery; be slippery; smooth
ɬəc̓,fill; to fill
ɬəc̓tn̓,scythe
ɬəc̓ət,fill it; to fill it
ɬəč̓élʔs,cut wood; chop wood
ɬəkʷetəŋ,heal; be healed; worked on; nursed; being cured by someone
ɬəkʷéʔnəq,heal; be healed; be cured
ɬəkʷél̓s,pecking; be pecking (as bird)
ɬəlpəléx̣ən,bat (chiroptera)
ɬəlíc̓ən,"sparkle, shine"
ɬəlíc̓əŋ,shine; sparkle
ɬələɬéq̓ət,wearing clothes
ɬəl̓áx̣ʷtiŋ,freeze water
ɬəɬeʔl,getting to shore: going ashore
ɬəɬéʔkʷ,hurrying; be hurrying
ɬəɬéʔkʷtxʷ,hurrying soneone
ɬəmɬə́mləc̓,Placename: flats (near sea between Duncan & Mill Bay?)
ɬəmxʷə́ysən,spit; saliva
ɬəməxʷaʔwəqʷ,rain hat
ɬəm̓éq̓əʔ,China hat (edible limpet)
ɬənk̓ʷelʔs,sting; (as a bee's sting)
ɬənk̓ʷt,shoot it
ɬənk̓ʷtəs,she/he/they shoot it
ɬənk̓ʷə́lə,shoot; to shoot; shoot with a gun
ɬəŋʔístxʷ,detach the body
"1. Placename: This name, meaning “two pieces torn apart refers to these two small islands off the western shore of Esquimalt Harbour, now called Smart (the northern one) and Macarthy. Edward Joe mentioned the two islands",2. indicated a small Coho creek nearby.
ɬəŋ̓eʔes cən čənəs,dentist
ɬəŋ̓és ɬŋ'es,"take out, remove"
ɬəq̓əl̓č̓,moonlight
ɬət̓áq̓ʷəŋ,snore
ɬət̓íʔq̓əŋ,warm; be warm; hot
ɬət̓əmən,herring rake
ɬəxʷəɬšéʔ,thirty
ɬə́ltən,bailer; canoe bailer
ɬə́ləs,abandon on purpose; leave behind
ɬə́l̓x̣ʷ (may be ɬəl̓əx̣ʷ),freeze
ɬə́l̓x̣ʷtxʷ,freeze it; cause it to be frozen
ɬə́l̓əx̣ʷtəŋ,frozen by something
ɬə́mʔc̓əŋ,"pick (berries, hops, etc.)"
ɬə́məxʷ,rain; to rain
ɬə́məxʷ,rain (to rain)
ɬə́nk̓ʷəl,shoot
ɬə́nək̓ʷət,shoot; behead; sting
ɬə́nək̓ʷətəŋ,stung; be beheaded; shot
ɬə́n̓k̓ʷtəxʷ,shoot it
ɬə́ptən,eyebrows; eyelashes; eye lid
ɬə́pəs,edible seaweed; red laver (c.f. ɬəq̓əs) (as pronounce by NW and EG)
ɬə́xʷəɬšeʔ ʔiʔ kʷ čəsə,thirty-two
ɬə́xʷəɬšeʔ ʔiʔ kʷ ɬixʷ,thirty-three
ɬə́xʷəɬšeʔ ʔiʔ kʷ ɬq̓ečəs,thirty-five
ɬə́xʷəɬšeʔ ʔiʔ kʷ nəc̓ə,thirty-one
ɬə́xʷəɬšeʔ ʔiʔ kʷ ŋəs,thirty-four
ɬə́xʷəɬšeʔ ʔiʔ kʷ tesʔəs,thirty-eight
ɬə́xʷəɬšeʔ ʔiʔ kʷ təkʷəwxʷ,thirty-nine
ɬə́xʷəɬšeʔ ʔiʔ kʷ t̓xəŋ,thirty-six
ɬə́xʷəɬšéʔ ʔiʔ kʷ c̓akʷəs,thirty-seven
ɬ́c̓ítəs,s/he cut it
ƛ̓aʔət,pacify; comfort someone
ƛ̓alnəč čiyə́wən,dancer (old dancer)
ƛ̓al̓nəč čyəwən,fully initiated dancer
ƛ̓amtxʷ,that's enough; stop it!
ƛ̓am̓,kelp
ƛ̓am̓,alright; to be enough; be acceptable; fine
ƛ̓čeqəŋ,downward; down hill; go under (water)
ƛ̓čes,island
ƛ̓číləŋ,sink to the bottom
ƛ̓číqən,downhill
ƛ̓eʔ,also; again
ƛ̓eʔéšən,invite to a feast
ƛ̓ec,stomach; abdomen; belly
ƛ̓eca,troll for fish
ƛ̓eč̓íʔtəŋ,stalked; being stalked or snuck up on
ƛ̓en,brother or sister
ƛ̓eqt láʔsən,"tray ""long plate"""
ƛ̓eqt ɬqelč,"January: ""long moon"""
ƛ̓es,belly; bowels
ƛ̓ew̓,again
ƛ̓eyəq̓əs,box; big box; chest
ƛ̓ikʷeʔnəŋ,"Placename: Tl’ikwe’nung. This name meant Indian peas, probably after a food that was traditionally harvested on Trail island."
ƛ̓iƛíw̓,"running away, be running away"
ƛ̓leʔt,"seek it, look for it"
ƛ̓léʔəŋ,look for; seek; be saught or looke for
ƛ̓ƛ̓čes,small island
ƛ̓píxəŋ,spill over; be spilled
ƛ̓pə́x̣t,spill; scatter
ƛ̓šíqʷ,"miscarry, abort (in pregnancy)"
ƛ̓šə́nəp,"plough, to plough"
ƛ̓xʷist,cover something
ƛ̓xʷíʔqʷən,scarf; head scarf
ƛ̓xʷəlíqʷəŋ,cover the head (head is covered)
ƛ̓xʷə́təŋ,"beaten, defeated, be defeated or beaten"
ƛ̓ák̓ʷəɬ,extinguishing it; putting it out
ƛ̓áƛ̓əm̓stəxʷ,corrected; made right; made to be enough
ƛ̓ápas,"Placename: small island off the eastern side of sc̓náʔəŋ (Catham) island, south of škʷəkáykalθ. Also spelled Tlappas (Grant Keddie 2003 p.54)"
ƛ̓éʔ kʷɬqəlét skʷéčəl,the following day
ƛ̓éʔp̓ət,feeling it (physically)
ƛ̓éʔsəŋ,"deny, to deny"
ƛ̓éčəɬ,"below, low"
ƛ̓éčəɬ ƛ̓əč,deep below
ƛ̓ék̓ʷəx̣ən,goose
ƛ̓él̓əč̓,blind; be blind
ƛ̓éɬəŋ,salty; be salty
ƛ̓éɬəŋ qʷaʔ,salt water
ƛ̓éšən,feast; to feast (unconfirmed)
ƛ̓éw̓əq,"Placename: This fishing site off what is now called Otter Point was a T’sou-ke site, owned by a man named Spooit-hw."
ƛ̓íʔkʷəs,stingy
ƛ̓íč̓ət,sneak up on something or someone
ƛ̓əcéčən,"belt, a belt"
ƛ̓əč,deep (to be deep)
ƛ̓əč,deep; be deep
ƛ̓əčqénəŋ; ƛ̓əčqəniŋ,go downhill
ƛ̓əč̓elʔs,sneaking up on something (continously)
ƛ̓ək̓ʷ,go out; die out (as fire)
ƛ̓əlƛ̓ə́q̓ʷ,stick many things
ƛ̓əléy̓,shovel-nosed canoe
ƛ̓əƛ̓ay̓əč̓ siʔétən,short haired
ƛ̓əƛ̓áy̓əč,"short, be short or shorter"
ƛ̓əƛ̓éčəs,islands
ƛ̓əƛ̓éyəqəs,box; little box
ƛ̓əƛ̓əléy̓,shovel-nosed canoe (small)
ƛ̓əməléčəŋ,Placename: area north of kʷəstəw̓əč village and south of Cowichan Head in Cordoba Bay.
ƛ̓ənqʔéw̓txʷ,Long house in which potlatches are held
ƛ̓əníqsən (?),new dancer strip
ƛ̓əqt,long
ƛ̓əqt siʔétn̓,long haired
ƛ̓əqtéʔɬ,tall; be tall; be taller than
ƛ̓əqʷə́y,milt
ƛ̓əxʷ,stiff; be hard
ƛ̓ə́nəq,potlatch; to hold a potlatch
ƛ̓ə́qtənəč,"cougar,mountain lion, Felis concolor. Cougars were not purposely hunted but would be eaten if killed while hunting for other animals (Barnett 1955:63).<br />"
ƛ̓ə́q̓ʷƛ̓əq̓ʷ,sticky; to be sticky
ƛ̓ə́x̣ʷƛ̓əx̣ʷ,oyster
ƛ̓ə́ẃƛ̓ə,"very small, be very small; little bit"
ƛ̓ə̕q̓ʷíw̓səŋ̕,packing
masn,gall
meʔ,father; when speaking to (addressing) your father; grandfather
men,father
miléləm,"confess; go to court (from Eng. ""my Lord"""
miléləm stə́nʔəq,judge
min̓tuqʷ,cup
mit,"cents (from Eng. ""bit"")"
musməsáləɬ,calf
máʔəqʷ,duck; chicken; poultry
máwəč,deer; Odocoileus spp.
méʔkʷəɬ,"hurt; be hurting, in pain"
méʔləx̣əɬ,Placename: Malahat
méʔmən,"small; be small, little"
mék̓ʷə,funeral potlatch; go to a funeral potlatch
méləq,forget; forgetting
mém̓əl̓šən; məm̓él̓šən,orphan
ménɬtə,our father
míʔmən,"small; be small, little"
míc̓ət,crush
míɬə,dance (traditional dance)
míɬəʔéw̓txʷ,big house: dance house
"1. Placename: Means warmed by the sun. This place was an open meadow in Beacon Hill Park “where people sat to have their bellies warmed in summer” (JF). They would also a play a shinny game called qoqʷi’als, where sticks are",2. launched across a field toward a goal.
músməs,cow
məháy̓,basket
mək̓ʷ,all; all of us/you/them; every; everything
mək̓ʷ nəníɬiyə,everyone (all of them)
mək̓ʷ skʷéčəl,daily (every day)
mək̓ʷ stéŋ,everything
mək̓ʷeyéč̓t,pile it up; heap it up; make a pile
mək̓ʷé (mək̓ʷey),pile; heap
mək̓ʷəʔí́ŋəɬ,potlatch (to be holding a funeral potlatch)
1. Placename: This was the name for the Macaulay Point between Victoria Harbour and Esquimalt Harbour. It was the only reef-net location within Xwsepsum territory. There are other reef net locations across Haro strait on San,"2. Juan and Henry Islands. There was another location at Becher Bay at East Sooke, similarly named məq’a’as"
məliyétəl,wedding; marry; get married
mələ̓ʔqʷ,ducks
məl̓č̓əsət,roll oneself over
məƛ̓ásət,"revenge (get revenge), get even"
məƛ̓él,faint; to faint
məƛ̓̓ásət; mat̓əset,avenge oneself; get revenge
məmə́wəč,deer (plural); Odocoileus spp.
mənmántəqʷ,Stonehead People
məqeyə,coffin
məq̓,be full; satiated; be full (of food)
"1. Placename: Village site along the eastern shore of Becher Bay. Gunther, who was writing in 1900 said there was a village named Muq!o’os on the eastern shore of the bay. However, Wilson Duff learned from his informants that",2. the reef net site at Beechey Head was called Maqʷa’as. See entry for Nəxʷkʷic̓ec̓əŋ (Nuhwkwits̓ets̓ung).
məskʷíʔəm,Placename: Musqueam
məsə́t,fold in
mətúliyeʔ,Placename: Victoria
məx̣ʷey̓éʔ,belly button (navel)
mə́k̓ʷəŋ,claim
mə́k̓ʷət,pick up from ground
mə́w̓lə,saw-mill; mill
naŋət,"self; myself/himself, etc"
napás,rain cape
nas,fat; be fat; be made fat
neʔt,name it
neʔts,he named it
neʔ; niʔ,it is; also shows as nəʔ
neʔétəŋ,being named; being called
neč̓,changed; be different
neč̓áləs,colourful
niɬ,it; one; the one; this one (thrid person pronoun)
niɬ sen,who is he?
niɬ səw̓ʔitət,he went to bed (to sleep)
niɬ səw̓x̣ʷaŋs,she used to cry
niɬ səw̓yéʔs čiʔétəɬ,goes duck hunting
niɬʔəw̓,it is
2. 1974:192). The fishing sites of this area were very important since they were the first sites the salmon (beginning with the sockeye) would pass by on their way to the Fraser and other major rivers. When the Xwsepsum and,"3. Songhees heard that the T’sou-ke were catching fish, they knew it was time to make the final preparations of their nets and canoes."
náʔləs,fat; be very fat; fat people
náʔsət,oil; lubricate
nác̓əʔ,one person
néʔsət,come for (?)
néʔtəŋ,named; be named; be called something
néʔət,name a person
néʔətəs,they call it; they're calling it (they̓re referring to it as...)
néč̓əw̓əč,one hundred
néč̓təŋ,be changed; changed into; turned into
níʔkʷə,some
níq̓ʷəm,soft; be soft
nəc̓eʔəw̓ŋəxʷ,foreign people
nəc̓élŋəxʷ,foreign group; not one's own people; strangers
nəc̓éw̓txʷ,neighbour (other house)
nəc̓éxʷ,"once, at once, at one time"
nəc̓əmáat,one together (together as one)
nəc̓ə́ʔw̓txʷəŋ,visiting
nəčnáŋət,laugh at oneself
nəčə́t,laugh at
nəč̓sát,change oneself into something
nəč̓əɬtxʷ,neighbour
nəhémət,name a person
nəkʷnáŋət,fall asleep
nəkʷásəŋət,nod one's head at something/one
nəkʷíʔliyeʔ,"you folks, you (plural)"
nəkʷím; nəkʷəy,reddish brown
nəkʷí́m,red; reddish-brown
nəlec̓ʔéw̓txʷ,neighbours
nələnə́yəŋ,many laugh
nəɬnékʷəl,couple; a pair
nəɬə́sət,fold it in; close it up; bring the sides together
nəmén; kʷə nəmén,my father
nəmétəŋ,obeyed; be followed
nəniʔ unverified spelling,mountain goat
nənə́yəŋ,"laughing (be always laughing), laugh a lot"
nən̓ ʔəw̓,really
1. Placename: Duff (151:5) states this village name is “another rendition of “Klallam”. It is one of the three villages Hill-Tout (1907:307) says were in Chowits’en Bay. One reason it may have been near to this area was the,2. reefnet site with the similar name of Nuhwkwits’ets’ung off Beechey Head.
nəqʷé,green; yellow
nəq̓íx̣,"black, purple"
nəq̓íx̣ péq̓ʷəŋ,black powder
nəskʷéʔ,"mine, it is mine"
nəsɬéniʔ,wife (my wife)
nəsƛ̓iʔ,I love/want/need/like (lit. my love/etc.)
nəsƛ̓l̓éməxʷ,provider; be a good provider
nəsqʷáləs,brown
nəsə́qʷ,red
nəšxʷʔəláq̓ʷəʔ,siblings (my siblings)
nəšíʔqʷ,oil hair
nəšíʔqʷəŋ,have one's hair oiled; be annointed with oil
nətén,my mother
nəwʔiləŋ,enter; come in
nəxʷq̓əkʷelʔs,biter; someone who habitually bites
nəxʷsq̓ʷeyéləš,dancer
nəxʷsəŋét,carrier; porter
nəxʷík̓ʷ,grey (colour)
nəyə́čət,arrow (my arrow); bow (yə́čt KLM)
nə-,prefix indicates colour
nə-,my; mine (first person posessive prefix)
nə́c̓əɬ,pus
nə́čəŋ,laugh (to laugh)
nə́kʷə,you; 2nd person singular pronoun
nə́kʷəl,together; to be two; to be together
nə́qəŋ,dive
nə́wʔəs,enter it: put it inside
nə́w̓nəč,pay for anything
n̓céʔnəkʷ,First Narions reserve
ŋaq̓nəxʷ,swallow
ŋat,"eat, chew"
ŋékʷət,chew
ŋéqeʔ,snow on the ground
ŋíʔet,grouse (blue)
ŋíq̓ət,erect; stand up (as a pole)
ŋəʔk̓ʷeʔit,wait for someone
ŋəʔk̓ʷəsát,waiting
ŋəkʷsə́ŋət,nod one's head (when falling asleep)
ŋəkʷsə́ŋətxʷ,nod; to cause one's head to nod in assent or recognition
ŋənŋə́nə,children; all (my) children
ŋənəyéč̓,"crowd; be a group, a crowd; to be crowded See /-yéč̓/"
ŋən̓,"many, lot, plenty"
ŋən̓ stəlqéyeʔ,pack of wolves
ŋəs,four
ŋəs néč̓əwʔəč̓,four hundred
ŋəsɬšé,forty
ŋəsɬšé ʔiʔ kʷ nəc̓ə,forty-one
ŋəsnʔ,louse
ŋəsŋəsélə,"four at a time, four at once"
ŋəsélŋəxʷ,Nitinat person
ŋəsélə,"four at a time; group of four, four humans"
ŋəséləŋəxʷ,WestCoast people (Indigenous)
ŋəséɬ,four times
ŋə́nə,"son or daughter, offspring, child"
ŋə́ŋəqsən,noses
ŋə́qsən,nose
pəw̓́yəkʷ,gun; rifle
piʔkʷəŋ,roasting stick; forked stick for cooking over the fire
piš,cat
pit̓šən,lizard
pqʷáčən,sand
pq̓aal̓s,"Placename: currently called Mount Douglas, the highest mountain in cəliʔɫčə (South Saanich) territory. means ""white head"". This was traditionally a sacred mountain."
pq̓áləs,grey
psnákʷən,"mat, rug, floor mat. Cedar bark, tule, and rush mats covered temporary summer house frames, sleeping benches, and stored food; were sat on during meals (Barnett 1955:121-2; Stern 1934:92)"
"1. Placename: ""Place of Rushes"" , roughly where the Empress Hotel stands today. The valley leading to Beacon hill from Pshay at the Inner Harbour was very moist and a good place to collect rushes used to make sleeping mats,","2. tents, and sails. Edward Joe said people used to bring canoe loads of gravel (presumably to build pathways) because the ground was so muddy."
pšásəŋ,"bucking the tide, go into the wind"
pxʷatəŋ,blown on; be blown on
pxʷelʔs,blowing
pxʷəlaʔ,blow (wind)
puk,book
páwən,pound
páxʷn̓,sail
páxʷət,blow it; blow on something; inflate
péyə,beer (from English)
píʔkʷən,forked stick for cooking fish over a fire; stick for barbecueing
pínt,paint (from English)
pípə,"book, paper (from English)"
píš,cat (from English)
píšpəš,kitten (from English)
píxʷpəxʷ,"huckleberry, Vaccinium"
pəláxʷəŋ,"steam; be steamed. Meat, fish, and plant foods were placed on layer of leaves in pit lined with hot rocks, covered and steamed for one to three days (Barnett 1955:60-1; Gunther 1927:209)."
"1. Placename: ""place of the ghost"" literally means to be haunted or touched by a ghost or an owl. Inland end of Gorge waterway. This was the name for Craigflower Creek which used to be called Deadman River. This river was a Coho","2. stream, with fish coming all the way up the Gorge, or Q’umasung waterway. Songhees Elder Frank George mentions the salmon and herring that would come up the waterway."
pənʔpə́wnxʷ,"May; ""when camas is collected""; dig for camas"
pəpéc̓iŋ,skunk
pəq ləpláš,whiteboard
pəq̓,white
pəq̓lénəxʷ,September (lit. white month)
pə́k̓ʷəŋ,"smoke; to be dusty, smoky"
pə́xʷmən,sawdust (confirm)
p̓aaŋ; p̓əʔáŋ,swell up (as a river)
p̓aweʔ,flounder
p̓esn,pheasant
p̓iləŋ,overflow
p̓kʷáčən,sand; sand bar
p̓p̓aaʔəŋ,swelling up (as a river) (unconfirmed)
p̓qʷə́čən,sand
p̓áʔc̓əs,"cradle, cradle board"
p̓ákʷəčən,Placename: Coles Bay
p̓əkʷ,float; rise to the surface
"4. the increased development of downtown Victoria, to move. In 1911 they moved to the current reserve off Admirals road. Chief Thomas tells the story of how James Douglas spoke with his ancester Si’sunuq, explaining how the","5. Whites would continue to pour in. At that point Si'sunuq moved his people to Qallu, the current Esquimalt reserve."
p̓əláƛ̓əŋ,smoking; a lot of smoke (from a fire)
p̓əɬ,sober
p̓ənʔéʔləx̣əc̓,Placename: Penelakut Spit on Kuper Island
p̓əqáynəŋ,"Placename: small island just of the coast, west of Cadboro Bay. Also spelled Bukkaynung (Grant Keddie 2003 p.54)"
p̓əséč̓,cone of pine or fir; acorn
