english,lummi
SHARPEN,"_to_, _to whet on a stone_, t'kas"
SHAWL,süt-sá-müsh
SHIRT,küts-á-lis;
"_""hickory"" shirt_",hütl-pé-wün
SHOES,"_moccasins_, s'klük′a-shin"
SHOOT,"_to_, _with a bow_, ts-män"
SHOT,hüs-üm-ákw
SICK,s'hatl
SICK,"_I am_, s'hal'sün"
SING,"_to_, t'e-lüm, te′lim"
SISTER,"_elder_, á-lish;"
_younger_,sái-tchin
SIT,"_to_, üm-müt, üm-mit, tsüm-má-no"
SIX,"t'hünkh, tükh-hüng-ä-la, tükh-hüng-ält-hu"
SKIN,"_dressed_, hül-kün;"
_un-dressed_,kwül′lo
SKY,"sé-ishl, skwái-yil"
SLEEP,"_to_, ét-t-t, é-tüt-tüt, i-tit"
SLEEPY,a-tá-tüng
SLOWLY,o-s'n-ang'h
SMALL,mi-mé-min
SMELL,"_a_, häkw"
SMELL,"_to_, hük-kwül′la, hük-kwá-li"
SMOKE,"_to_, _a pipe_, smä-nis-tin (smá-nüsh, _tobacco_);"
_as a fire_,spát-lüng
SNAKE,s'alkh′ka
SNEEZE,"_to_, hä-sing"
SNORE,"_to_, hwá-na-küng"
SNOW,ná-ka
SON,ng-üu′na
SOUL,"_the_, sül-lé"
SOUR,sá-han
SOW,"_to_, _grain_, _&c._, chái-its (chai, _to work_)"
SPEAK,"_to_, kwal"
SPEAR,"_to_, _water fowl_, t'kwa′-nüm;"
_seals_,sái-yüm-mün;
_fish_,t's-hüng′ün
SPLIT WOOD,"_to_, sküt"
STAB,"_to_, met-át-üng-kwa;"
_Simiamoo_,ti-chet′üng-kwa
STAND,"_to_, sít-lün"
STAR,"kó-s'n, kâ-s'n"
STAY,"_I will stay_, a-wüs-sin"
STEAL,"_I stole_, as-kwa-kan′;"
_you stole_,nük′wa kwa-kan′;
_he stole_,nikhl-kwa-kan′
STEER,"_to_, chün-nä-set; chük-ke-nüng"
STEERSMAN,"_of canoe_, as-kwá-at"
STOCKADE,"_fence_, kül-lükh′han"
STONE,chet-hlákh;
_rock_,sng-ánt
STOP,"_I will stop here_, o-at′la-sün (_perhaps ""I have arrived""_);"
_stop_,"_imp._, _i.e. stop doing any thing_, un-nükhw kwá-tün s'chai;"
_stop_ (_when one is helped sufficiently to food_),hái;
_stop_ (_talking_),süm-mukh
STRIKE,"_to_, _with the fist_, nüt-sás-tüng"
STRIPED,as-hé-ütsh
STRONG,"kâm-küm, kwüm-kwüm"
STURGEON,skwá-wütsh
SUN,sku-kül′
SWEET,"sak-küng (aikh, _good_)"
SWIM,"_to_, tüng-a-áng"
TAKE,"_to_, kwün′nut (_same as to get_)"
TAKE OFF,"_to_, kl_á_-lis, klüt-sang′"
TALE,"_story_, skwül′kwül"
TALL,kl'k-tákhl
TEETH,chin′nis
TEN,"o′pün, o-pün-ä-la, o-pün-ält-hu"
TESTICLES,má-tchin
THANK YOU,hekh
THAT,"tül-lá, ta-lé;"
_that is Lucy's_,la Lucy ti-lé
THERE,ta-lá;
_there it is_,"e-i-té-i-ti, át-la-ti"
THEY,"nan-étl-ya, kw'si′a-hál-tün"
THING,"_things_, stang;"
_every thing_,nükw-stang
_It is noticeable that in this language,"as well as in the Nisqually,"
Chinook,"and probably in others, the word for ""thing"" is the same"
THIEF,kán-kan
THIS,ti′et-hla
THOU,nükw;
_thyself_,tin-tsi′la;
_you are a Kanaka yourself_,Kanaka tin-tsi′la
THOUSAND,o-pántsh
THREAD,"_twine_, hwé-lum"
THREE,"klikhw, kl-whái-la, kl-whält-hu"
THROAT,haung′en
THROW,"_to_, _as a stone_, tsi-lakh;"
_to throw away_,hwélt-hu
(_In the Simiamoo dialect_,"é-kwüt; _to throw away with violence_,"
tim,müt.)
THUMB,süs-táls
THUNDER,s'hó-hwas
Flood tide,küm′mül
Ebb tide,hi-klatl'h
High tide,küm-küm′mül
Low tide,sham′shüm
TOBACCO,smá-nüsh
TOBACCO POUCH,smá-na-shá-la
TO-DAY,"ti-a-káis, ti-o-skwá-chil"
TOES,"s'chüs'sün, snó-hwl-shin"
TO-MORROW,"kwá-chil, kwái-ikhl"
TONGUE,té-whls
TRADING HOUSE _or store_,"shwui-mäl (hwi-mä-la, _to sell_)"
TREES,"_forest_, s'ki-lá-lüng-hu"
TREES,ETC.:
Red pine (_P. ponderosa_),kwa-kwa-yé-la-hilp
Dwarf pine (_P. contorta_),kwákhwl-ch
Spruce fir (_Abies Menzesii_),chi-kwüt′lp
White fir (_A. grandis_),sko′-me-yüks
Hemlock spruce (_Abies ---- ----_),s'ke-éltch
Yew,tlng-kálsh
Cedar (_Thuja_),h'chá-chiltsh
Red cedar (_Juniperus_),pits-in-ái-ilp
Arbutus (_A. Menzesii_),kō-kwéltsh
Trailing arbutus (_A. uva-ursi_),kwün-neltsh; _the leaves of this
Birch,kats-ül′tch
Maple (_A. macrophylla_),küm′ an-ilp
Vine maple (_A. circinata_),shé-chülp
Alder,s'kwáng-ültsh
Crab apple tree,kükh-whétsh
Fruit of do.,ka-ákhw
Elder,tsé-wükh
Willow,swül-létsh
TREES,_parts of_:
Roots,ko′mel-lokh
Fir cones,ta-má-ku-küns
Pitch or rosin,smá-nitsh
Leaves,sats-tlá
Fir bark,t'chül-le
Cedar bark,shl-kōm
Inner bark of do.,skwekhw
Willow bark (_used for making seines_),swá-lakh
Rotten wood,pi-kwái
TWO,"chus-sa, chá-sa, tch's-sält-hu"
UNCOVER,"_to_, küt-lést"
"UNDERSTAND,",-
_I understand that_,hüt-che-tu ti-ats;
_I don't understand_,o-ná kwins-hu-chet;
_Do you understand Clallam?_ hüt,che-tüt kwüs-sa Nūs-klái-yūm?
URINATE,"ché-wa. (_This applies to either sex, there not being a"
distinction made,as in the Nisqually._)
WALK,"_to_, s-tüng, sh-tüng"
WANT,"_to_, sklé;"
_I want_,n's-klé;
_I don't want_,á-wa sins-kle
WARM,"kwass, kwá-lüs"
WARRIOR,"nus-chang-kün, mich-kül′lo-wütl"
WASH,"_to_, (_the hands_), tsük-sé-sümg;"
(_the face_),tsük-wá-süng;
(_clothes_),tsük-ül-kwo′-tüng;
_I wash_,sa-kwüm′sün
WATER,kaukh
WAVES,skwüt-la-lák-ün
WE,"ninglkh, kl-ning-ülkh"
WET,"klük-sét, tsa-müng"
WHAT,"stäng, stäng-wüt;"
_what is that?_ stang ti,á?
_what are you doing?_ stang nis,chai?
_what?_ (_in answer to a call_),stang?
_what is the matter with you?_ es,tang hat-su?
_what do you want?_ stang sins,kle ti-nük-wa;
WHERE,a-hén;
_where is my gun?_ t'hén,ku ken po-yük?
_I don't know where_,kwá-hen ish-tük′ka;
_where do you come from (whence you?)_ tsa-héns-hu,tsa-hénts-hu?
_where are you going (whither you?)_ t'whéns-hu,twéntst-hu?
WHISTLE,"_to_, sh-pi-lás"
WHITE,pük'h
WHO,"wät, wat;"
_who did that?_ wat′la kwuts,chái-a ti-a?
"_what (literally ""who"") is your name?_ wat",tun-má? wat kud sna?
WIFE,n'stá-lush (_same as husband_)
WIND,st-châng
West,ste-wüt
W. N. W.,tent-sa-lük
N. W. and North,s'chá-yüm
S. S. E.,skang-üt
S. W.,s'chis
WINGS,sk-käl
WIPE,"_to_, (_the face_), nu-hwa-chá-süng;"
(_the hands_),chékw-sim
WOLF,st-kái-ükh
WOMAN,slá-ni
WOOD,s'chütl;
_a log_,kwt-hlái;
_dry wood_,stä-ta-chi
WORK (_do_,"_make_), chái"
WORTHLESS,kl-hül-o-_á_s
WRESTLE,"_to_, tsäl-tüng"
WRITE,"_to_, hül′lüt"
YAWN,"_to_, we′a-küs"
YE,"YOU, nük-kwé-li-é"
YELLOW,"n's-kwül-la-wün, nük-wai"
YES,a-áh;
_yes indeed,"certainly_, ho′wüs, hu′üs, si-ēt"
YESTERDAY,chi-lak'hl
YOUNG,s'hwé-wils
