english,lummi
SHAWL,süt-sá-müsh
Shells,ká-ya-men
Shi-nám,_magic or medicine_
SHIRT,küts-á-lis;
"_""hickory"" shirt_",hütl-pé-wün
SHOES,"_moccasins_, s'klük′a-shin"
SHOOT,"_to_, _with a bow_, ts-män"
SHOT,hüs-üm-ákw
Shoveller (_Spatula_),klel-lük-tük-sen
Shrimp,TLemwechen
SICK,s'hatl
Silver Salmon / Coho,Q'echqs
Sinews of back,tüng-é-sens
Sinews of legs,kli-é-mins
SING,"_to_, t'e-lüm, te′lim"
SISTER,"_elder_, á-lish;"
_younger_,sái-tchin
Sister's husband,_idem_
Sister-in-law,s'ng-at′hwun
SIT,"_to_, üm-müt, üm-mit, tsüm-má-no"
sit still,enixw
SIX,"t'hünkh, tükh-hüng-ä-la, tükh-hüng-ält-hu"
Skate,kákh-kōkh
Skate fish,Q'aqo
SKIN,"_dressed_, hül-kün;"
_un-dressed_,kwül′lo
Skunk,süp-pük
SKY,"sé-ishl, skwái-yil"
Ské,ükl?
slang′üt; (lä,"tsi _seems to be ""at"" or ""into;"" vide ""at"" and"
_get fire wood_,"_to_, tük-kütsh′"
SLEEP,"_to_, ét-t-t, é-tüt-tüt, i-tit"
SLEEPY,a-tá-tüng
SLOWLY,o-s'n-ang'h
Slug (_limax_),kai-yat′lin
SMALL,mi-mé-min
small bird,tetem
Small brake,tsük′kwa
small kinds,skókh-kwa
small owl,kwai-el-hu
Small round clam (_Venus_),sküt-hlai;
Small sea Urchin,Sqw'itsi
small woodpeckers,tsüt-tüng
SMELL,"_a_, häkw"
Smelt /Hooligan,Q'eLhs
SMOKE,"_to_, _a pipe_, smä-nis-tin (smá-nüsh, _tobacco_);"
_as a fire_,spát-lüng
SNAKE,s'alkh′ka
SNEEZE,"_to_, hä-sing"
snipe,skekae
SNORE,"_to_, hwá-na-küng"
SNOW,ná-ka
Snow Berry,Pepiyes
snow finch,tchi-sa-wütsh
Snow Goose,"kla-wükh-han, kla-hwa′han"
Snow On the ground,Ngake
Snowberry bush,pat-saltsh
Snowing,Chiekw
Soap Berry,Sxwaasem
Sockeye,Seki
SON,ng-üu′na
Son or daughter,ng'ün′na
SOUL,"_the_, sül-lé"
SOUR,sá-han
South wind,Sqa'anget
SOW,"_to_, _grain_, _&c._, chái-its (chai, _to work_)"
Spanish moss,stül-hái-is
sparrow hawk,süs-so-wak-chil-la
SPEAK,"_to_, kwal"
SPEAR,"_to_, _water fowl_, t'kwa′-nüm;"
_seals_,sái-yüm-mün;
_fish_,t's-hüng′ün
Spider Crab,ku-kwátl-shin
Spirit Duck (_Albeola_),"hekh-kün-né, k'k-hün′na"
Spiræa,kads-sulch
SPLIT WOOD,"_to_, sküt"
spoon,lhopen
Spring,"tchin-kwé-lis, tchin-kwai-lus"
Spruce fir (_Abies Menzesii_),chi-kwüt′lp
Squalicum,Qwolouxqem
Squirrel,Ts'epsiosen
Squirrel (_sciurus_),tsip-si-á-sün
STAB,"_to_, met-át-üng-kwa;"
_Simiamoo_,ti-chet′üng-kwa
STAND,"_to_, sít-lün"
STAR,"kó-s'n, kâ-s'n"
Star fish,"kwül-lá-chi, kül-lä-sis"
Starfish,T'omeLtL'e
STAY,"_I will stay_, a-wüs-sin"
STEAL,"_I stole_, as-kwa-kan′;"
_you stole_,nük′wa kwa-kan′;
_he stole_,nikhl-kwa-kan′
Steamer clam,SkweLhey'
Steelhead,Q'ixw
STEER,"_to_, chün-nä-set; chük-ke-nüng"
STEERSMAN,"_of canoe_, as-kwá-at"
Step father,n's-gnä-ün
Step mother,_idem_
STOCKADE,"_fence_, kül-lükh′han"
Stommish Grounds,Wexlium
STONE,chet-hlákh;
_rock_,sng-ánt
Stone Crab,ku-kwin-nó-wa
STOP,"_I will stop here_, o-at′la-sün (_perhaps ""I have arrived""_);"
_stop_,"_imp._, _i.e. stop doing any thing_, un-nükhw kwá-tün s'chai;"
_stop_ (_when one is helped sufficiently to food_),hái;
_stop_ (_talking_),süm-mukh
Stormy,HoteLh
Story,Sxwiam
Strawberries,TiLeqw
STRIKE,"_to_, _with the fist_, nüt-sás-tüng"
STRIPED,as-hé-ütsh
Striped squirrel (_tamias_),hwé-pe-chin
STRONG,"kâm-küm, kwüm-kwüm"
STURGEON,skwá-wütsh
su-kwái,"_brook trout_ (_S. stellatus_, GRD.);"
Summer,"kwá-lus (kwá-lis, _warm_) tchin-é-yi"
SUN,sku-kül′
Sunshine,Esiteng
swallow,kwesechen
Swan,ho′ha-han
SWEET,"sak-küng (aikh, _good_)"
Swift (_Cypselus_),kuk-sátch
SWIM,"_to_, tüng-a-áng"
sük,ké (_not ascertained_);
table,sxwilhen
Tail,klap-ái-sin-itsh
TAKE,"_to_, kwün′nut (_same as to get_)"
TAKE OFF,"_to_, kl_á_-lis, klüt-sang′"
TALE,"_story_, skwül′kwül"
TALL,kl'k-tákhl
Teal (_Nettion_),"hüs-natch, chil-si′set"
TEETH,chin′nis
TEN,"o′pün, o-pün-ä-la, o-pün-ält-hu"
tern,xwitxw
Territory,Schetenexwen
TESTICLES,má-tchin
THANK YOU,hekh
THAT,"tül-lá, ta-lé;"
_that is Lucy's_,la Lucy ti-lé
The,Tse
the cat is walking,Sheteng tse Pish
the dog is running,Kwoninget tse Skwemey'
the Nisquallies_,"No-kw-makhl _of the Clallams and Skagits, and_"
Their father,k'sän män
THERE,ta-lá;
_there it is_,"e-i-té-i-ti, át-la-ti"
There at Lummi,La' etse Xwlemi
THEY,"nan-étl-ya, kw'si′a-hál-tün"
They're thinking,Kwenekwan-s
THIEF,kán-kan
Thighs,kat-chat-chs
Thimble berry,Teqwem
THING,"_things_, stang;"
_every thing_,nükw-stang
_It is noticeable that in this language,"as well as in the Nisqually,"
THIS,ti′et-hla
Thorns,chit-tüm-mäs
THOU,nükw;
_thyself_,tin-tsi′la;
_you are a Kanaka yourself_,Kanaka tin-tsi′la
THOUSAND,o-pántsh
THREAD,"_twine_, hwé-lum"
THREE,"klikhw, kl-whái-la, kl-whält-hu"
THROAT,haung′en
THROW,"_to_, _as a stone_, tsi-lakh;"
_to throw away_,hwélt-hu
(_In the Simiamoo dialect_,"é-kwüt; _to throw away with violence_,"
THUMB,süs-táls
THUNDER,s'hó-hwas
Thy,ti-nük-wa
Thy knife,süns-kwân's-päl-tün
Thyself,tin-tsi-la
tim,müt.)
to Eat,iLhen
to go across,ShoqweL
to go around,KeLiset
To Hear,Xwian
to Know,Xchit
To Listen,ELanen
to Look / See,Langet
to make,Chay'
to play,Emna'
to Run,Kwoninget
to Sit,Emet
to Sleep,it't
To stand,SiLheng
to swim,Shishqwom
to talk,Qwal
to Think,Kwenekwan
to Train,Kwechost
to Walk,Sheteng
to work,Schay'
to Write,XeLet
TO-DAY,"ti-a-káis, ti-o-skwá-chil"
TO-MORROW,"kwá-chil, kwái-ikhl"
TOBACCO,smá-nüsh
TOBACCO POUCH,smá-na-shá-la
TOES,"s'chüs'sün, snó-hwl-shin"
TONGUE,té-whls
Tools,Chey'ten
TRADING HOUSE _or store_,"shwui-mäl (hwi-mä-la, _to sell_)"
Trailing arbutus (_A. uva-ursi_),kwün-neltsh; _the leaves of this
TREES,"_forest_, s'ki-lá-lüng-hu"
Trout,Ts'sqwey'
Tule or round rush,skwül-lül
TWO,"chus-sa, chá-sa, tch's-sält-hu"
tüghs,"_salmon trout_ (_S. Campbelli_, SUCKLEY);"
Uncle,"latl, hai'tch; (_as the nephew grows older, the uncle becomes"
UNCOVER,"_to_, küt-lést"
"UNDERSTAND,",-
_I understand that_,hüt-che-tu ti-ats;
_I don't understand_,o-ná kwins-hu-chet;
_Do you understand Clallam?_ hüt,che-tüt kwüs-sa Nūs-klái-yūm?
URINATE,"ché-wa. (_This applies to either sex, there not being a"
Village Point,SkyLekshen
Vine maple (_A. circinata_),shé-chülp
W. N. W.,tent-sa-lük
WALK,"_to_, s-tüng, sh-tüng"
WANT,"_to_, sklé;"
_I want_,n's-klé;
_I don't want_,á-wa sins-kle
Warblers,hu-hwül-lüsh
WARM,"kwass, kwá-lüs"
Warm / Hot,Kwaeles
WARRIOR,"nus-chang-kün, mich-kül′lo-wütl"
WASH,"_to_, (_the hands_), tsük-sé-sümg;"
(_clothes_),tsük-ül-kwo′-tüng;
_I wash_,sa-kwüm′sün
(_the face_),tsük-wá-süng;
wash your hands,ts'ekwsiseng
WATER,kaukh
WAVES,skwüt-la-lák-ün
WE,"ninglkh, kl-ning-ülkh"
Weasel,kül-ké-la
Weather,Skwey'eLe
West,ste-wüt
West Shore Village,T'Lopi
West wind,Stiwet
WET,"klük-sét, tsa-müng"
Whale,Qwenes
WHAT,"stäng, stäng-wüt;"
_what is that?_ stang ti,á?
_what are you doing?_ stang nis,chai?
_what?_ (_in answer to a call_),stang?
_what is the matter with you?_ es,tang hat-su?
_what do you want?_ stang sins,kle ti-nük-wa;
Whelk,sük-kwái-yükh
WHERE,a-hén;
_where is my gun?_ t'hén,ku ken po-yük?
_I don't know where_,kwá-hen ish-tük′ka;
_where do you come from (whence you?)_ tsa-héns-hu,tsa-hénts-hu?
_where are you going (whither you?)_ t'whéns-hu,twéntst-hu?
Where are you from,Che xin sxw
Where is your house?,Exin kw-en a'leng
Whirl wind / Whirl Pool,Schonges
WHISTLE,"_to_, sh-pi-lás"
WHITE,pük'h
White fir (_A. grandis_),sko′-me-yüks
WHO,"wät, wat;"
_who did that?_ wat′la kwuts,chái-a ti-a?
"_what (literally ""who"") is your name?_ wat",tun-má? wat kud sna?
WIFE,n'stá-lush (_same as husband_)
Wild onion,swél-nitsh
Wild pea,hüm-kwai-á-sin
Wild rye,pshai
Willow,swül-létsh
Willow bark (_used for making seines_),swá-lakh
WIND,st-châng
Wind-pipe,hwang-ün
Wing,"ki-ka′al, sk-ká-al"
WINGS,sk-käl
Winter,"chints-é-hüm, chin-sá-tütsh, sá-titsh"
WIPE,"_to_, (_the face_), nu-hwa-chá-süng;"
(_the hands_),chékw-sim
WOLF,st-kái-ükh
WOMAN,slá-ni
WOOD,s'chütl;
_a log_,kwt-hlái;
_dry wood_,stä-ta-chi
Wood fern,s'hä-lüm
wood pecker,tsikwt
Woodpeckers,"logcock, skwül-lüt′tün;"
WORK (_do_,"_make_), chái"
WORTHLESS,kl-hül-o-_á_s
Wren,te′ti-tüm
WRESTLE,"_to_, tsäl-tüng"
WRITE,"_to_, hül′lüt"
Yarrow (_Achillia multifolia_),pül-lé-a-kwütsh; (_it is used to
YAWN,"_to_, we′a-küs"
YE,"YOU, nük-kwé-li-é"
YELLOW,"n's-kwül-la-wün, nük-wai"
Yellow-shank Snipe,skük-ka′-ye
Yellowish green,Ts'epopeL
YES,a-áh;
_yes indeed,"certainly_, ho′wüs, hu′üs, si-ēt"
YESTERDAY,chi-lak'hl
Yew,tlng-kálsh
You,Sxw
You (with emphasis),Nekw
YOUNG,s'hwé-wils
Your,En
Your house,tsüng a′nüng hä-la
yó-mutsh,"_S. quinnat_, RICH.;"
Yūtl-ma,"_or_ Shwâ-mat-wun, _the spirit that presides over good"
