english,lummi
POUND,"_to_ (_as seeds, grain_), kli-a-kwéng-ütl"
Pounder,Skwschis
PRAIRIE,spelkh′han
PREGNANT,skä-kwi
Present tense,Kw-
PRESENTLY,hwa-sing-ang′a;
Presently,Kwel
Prickly pear (_cactus_),tsä-ta
puffin,kwal' he
PULL THE HAIR,"_to_, heng-ükw-tün"
PUT DOWN,"_to_, sä-kws"
PUT INTO,"_to_, _imp._, nu-ás ats-ches-sük"
PUT ON,"_to_, _pantaloons_, hük-éw-sing;"
quahog (_Saxidomus_),sákh-hwa;
Quills,stli-käl
Rabbit,Hepit
Raccoon,Sxy'ekwes
Racoon,blōps
Rain,Lhemexw
RAIN,slüm′mōkh
Rainbow,Xweteshen
Raining,Lhemxw
RAISE UP,"_to_, sä-at"
RAKE,"_for taking herring and other small fish_, tlet′ha-men"
RAPID,"_in a river_, kwet′chüm"
Rat,Kwaten
Rat fish,Sqemene
Raven,sku-takh
raven,Skweto'
RAW,hets
Really,Su'itu'
Red,"n'sük'h, n'sükw"
red,neseqw
Red,Neseq'
RED,"n'sük'h, n'sükw"
Red cedar (_Juniperus_),pits-in-ái-ilp
Red pine (_P. ponderosa_),kwa-kwa-yé-la-hilp
Red raspberry,tük′wüm
Reef net,Sxwole
referring to Lhaqtemish,Mish
Respected people,Si'iam
Rest,Saxweng
Ribs,lük-h'ws
RIVER,stá-lo;
ROAD,satl
ROAST,"_to_, _in ashes_, tül-lák;"
robin,kweskek
Robins (_T. Naevius_),kwüs-kük'h;
ROCK,sng-ánt
Roe,he-a-hetl;
Root,Qwets'eng
Root of do.,ko-ma-lokh
Roots,ko′mel-lokh
Roots of do. (_eaten_),skwi′yu
ROPE,hwé-lüm
Rose bush,kül-kél
Rotten wood,pi-kwái
Ruffed Grouse,"skwüts, skwüts′ha"
RUN,"_to_, kwâ-nüng-üt, kwá-nüng-it"
Run,Kwoninget
S. S. E.,skang-üt
S. W.,s'chis
SAD,"hätl-tin, hütch-ing′én"
Saddle or hind quarters,"as-satch-chatsh (chus-sa, _two_)"
SAIL,"_make sail_, _imp._, chai-a-kwün pa-kwün;"
Salal Berry,Taqe'
SALAMANDER,pét-h'yil
Salmon,_vide infra_
SALMON,"_generic_, s'chän-hu.--"
Salmon,Schaenexw
Salmon Berry,ELiLe
Salmon berry,al-é-la
Salmon Berry Sprout,Saski
SALT,klat′lün
Salt water,TL'aLh
SAND BEACH,"s'het (_Lummi_), si-et′süm (_Kwantlen_)"
SAND SPIT,na-wa-létsh
Sand-hill Crane,slem
Sandy Point,Sly'eksen
Say,Axen
Scales,slés
SCOOP,"_for bailing a canoe_, tsang′tün"
SCRAPE,"_to_, ekht"
SCRATCH,"_a_, si-héks"
SCRATCH,"_to_, hüt-ché-tüng;"
screech owl,q' eq' em' qwele
SEA,"klals, kt'hlals"
Sea Cucumber,Tsikwt
Sea Ducks (_generic_),kwal′-hu
Sea egg (_Echinus_),skwét-si
Sea Lion,Eshes
Sea otter,tüm′müs
Sea Otter,Temes
Sea slug (_holothuria_),sekt
Sea urchin,Sqwitsi
Sea weeds,chil-lüm
Seal,Ashxw
Seal,_á_ss′hu
SEE,"_to_, lang-üt, lang-it"
See you later,Langnexw sen -se
Sehome,Sy'hom
SELL,"_to_, hwi-mä′la"
SEVEN,"tsâkws, tsük-sä-la, sük-sält-hu"
SEW,"_to_, chets"
Shadow,Q'eq'etLe
SHAKE HANDS,"_to_, kwün-sest′"
SHALLOW,shái-shüm
SHARP,ái-yas
SHARPEN,"_to_, _to whet on a stone_, t'kas"
SHAWL,süt-sá-müsh
She/he is sitting.,Emet-s
She/He/It,-s
Shells,ká-ya-men
Shi-nám,_magic or medicine_
SHIRT,küts-á-lis;
SHOES,"_moccasins_, s'klük′a-shin"
SHOOT,"_to_, _with a bow_, ts-män"
SHOT,hüs-üm-ákw
Shoulder,Shqweqwieqweng
Shoveller (_Spatula_),klel-lük-tük-sen
Shrimp,TLemwechen
S'hui-áb,"_or_ S'hui-ám, _the pre-human demon race_"
SICK,s'hatl
SICK,"_I am_, s'hal'sün"
Silver Salmon / Coho,Q'echqs
Sinews of back,tüng-é-sens
Sinews of legs,kli-é-mins
SING,"_to_, t'e-lüm, te′lim"
Sister,A'les
SISTER,"_elder_, á-lish;"
Sister-in-law,s'ng-at′hwun
Sister's husband,_idem_
SIT,"_to_, üm-müt, üm-mit, tsüm-má-no"
Sit,Emet
s'it,lün^2;
Sit / Get out of bed,Emet
SIX,"t'hünkh, tükh-hüng-ä-la, tükh-hüng-ält-hu"
Six,Texeng
six people,teweng -ale
Skate,kákh-kōkh
Skate fish,Q'aqo
Skin,Kwelo'
SKIN,"_dressed_, hül-kün;"
Skin,kwül-los
Skunk,Smemetsen
Skunk,süp-pük
SKY,"sé-ishl, skwái-yil"
Ské,ükl?
slang′üt; (lä,"tsi _seems to be ""at"" or ""into;"" vide ""at"" and"
SLEEP,"_to_, ét-t-t, é-tüt-tüt, i-tit"
Sleep,it't
SLEEPY,a-tá-tüng
SLOWLY,o-s'n-ang'h
Slug (_limax_),kai-yat′lin
SMALL,mi-mé-min
Small brake,tsük′kwa
Small Fish trap,Tikap
small hoot owl,skw' elexw
small kinds,skókh-kwa
small owl,kwai-el-hu
Small round clam (_Venus_),sküt-hlai;
Small sea Urchin,Sqw'itsi
small woodpeckers,tsüt-tüng
SMELL,"_to_, hük-kwül′la, hük-kwá-li"
SMELL,"_a_, häkw"
Smelt /Hooligan,Q'eLhs
Smile,Neney'eng
SMOKE,"_to_, _a pipe_, smä-nis-tin (smá-nüsh, _tobacco_);"
Smoked salmon,Skale
Snake,SoLhqe
SNAKE,s'alkh′ka
Snake,Solhqe
SNEEZE,"_to_, hä-sing"
SNORE,"_to_, hwá-na-küng"
Snow,Ngake
SNOW,ná-ka
Snow Berry,Pepiyes
snow finch,tchi-sa-wütsh
Snow Goose,"kla-wükh-han, kla-hwa′han"
Snow On the ground,Ngake
Snow on the ground,Ngake
Snowberry,Pepiyes
Snowberry bush,pat-saltsh
Snowing,Chiekw
Soap Berry,Sxwaasem
Sockeye,Seki
SON,ng-üu′na
Son or daughter,ng'ün′na
SOUL,"_the_, sül-lé"
SOUR,sá-han
South wind,Sqa'anget
SOW,"_to_, _grain_, _&c._, chái-its (chai, _to work_)"
Spanish moss,stül-hái-is
sparrow hawk,süs-so-wak-chil-la
Speak,Qwal
SPEAK,"_to_, kwal"
SPEAR,"_to_, _water fowl_, t'kwa′-nüm;"
Spear,Motet
Spider,Teq'chole
Spider Crab,ku-kwátl-shin
Spirit Duck (_Albeola_),"hekh-kün-né, k'k-hün′na"
Spiræa,kads-sulch
SPLIT WOOD,"_to_, sküt"
Spoon,Lhopen
Spouse,Sto'les
Spring,Pexwsiseng
Spring,"tchin-kwé-lis, tchin-kwai-lus"
Spruce fir (_Abies Menzesii_),chi-kwüt′lp
Squalicum,Qwolouxqem
Squirrel,Ts'epsiyosen
Squirrel,Ts'epsiosen
Squirrel (_sciurus_),tsip-si-á-sün
STAB,"_to_, met-át-üng-kwa;"
Stab/Spear,Motet
Stand,Silheng
STAND,"_to_, sít-lün"
Stand together.,Silheng-otel
STAR,"kó-s'n, kâ-s'n"
Star fish,"kwül-lá-chi, kül-lä-sis"
Starfish,T'omeLtL'e
STAY,"_I will stay_, a-wüs-sin"
STEAL,"_I stole_, as-kwa-kan′;"
Steamer clam,Skwelhey
Steamer clam,Skwelhey'
Steamer clam,SkweLhey'
Steelhead,Q'ixw
STEER,"_to_, chün-nä-set; chük-ke-nüng"
STEERSMAN,"_of canoe_, as-kwá-at"
Step father,n's-gnä-ün
Step mother,_idem_
STOCKADE,"_fence_, kül-lükh′han"
Stomach,Kwele
Stommish Grounds,Wexlium
STONE,chet-hlákh;
Stone Crab,ku-kwin-nó-wa
STOP,"_I will stop here_, o-at′la-sün (_perhaps ""I have arrived""_);"
Stop,Enexw
Stop the car.,Enexw tse sxwo'olh
Stop the car now.,Kwel enexw tse sxwo'olh
Stormy,HoteLh
Story,Sxwiam
Strawberries,TiLeqw
STRIKE,"_to_, _with the fist_, nüt-sás-tüng"
STRIPED,as-hé-ütsh
Striped squirrel (_tamias_),hwé-pe-chin
STRONG,"kâm-küm, kwüm-kwüm"
STURGEON,skwá-wütsh
Sturgeon,Skwawach
su-kwái,"_brook trout_ (_S. stellatus_, GRD.);"
Summer,Chen KwaeLes
Summer,"kwá-lus (kwá-lis, _warm_) tchin-é-yi"
SUN,sku-kül′
Sun,Sqw'qweL
Sunshine,Esiteng
Suppose / Wonder,Woch / -och
Swan,ho′ha-han
SWEET,"sak-küng (aikh, _good_)"
Swift (_Cypselus_),kuk-sátch
SWIM,"_to_, tüng-a-áng"
Swim,Shishqwom
sük,ké (_not ascertained_);
Table,Sxwilhen
Tail,s'hüp-shin
Tail,klo′wak-üs
Tail,klap-ái-sin-itsh
TAKE,"_to_, kwün′nut (_same as to get_)"
Take care,Yehomest
Take care my friend,Yehomest ne schache
TAKE OFF,"_to_, kl_á_-lis, klüt-sang′"
TALE,"_story_, skwül′kwül"
TALL,kl'k-tákhl
Teal (_Nettion_),"hüs-natch, chil-si′set"
TEETH,chin′nis
Teeth,Chenes
TEN,"o′pün, o-pün-ä-la, o-pün-ält-hu"
Territory,Schetenexwen
TESTICLES,má-tchin
THANK YOU,hekh
THAT,"tül-lá, ta-lé;"
That,Nilh
That is my friend (Female),Nilh ne schache sia
That is my friend (Male),Nilh ne schache tia
That is my friend,Nilh ne schache
The (male version),Tse
The (female version),Se
The bear is sitting,Emet-s etie schetxwen
The beaver is gathering,Qepteng tse skelaw'
The beaver is swimming,Shishqwom tse skelaw'
the cat is walking,Sheteng tse Pish
The cougar is jumping,Xwiteng tse shwowe
The deer is afraid,Sa'se'si tse smey'es
The deer is smiling,Neney'eng tse smey'es
the dog is running,Kwoninget tse Skwemey'
The dog is sitting,Emet-s tse skwemey'
the Nisquallies_,"No-kw-makhl _of the Clallams and Skagits, and_"
The snow is beautiful,I'yes tse chiekw
The survivors of the flood,Lhaqtemish
Their father,k'sän män
Then,Su'
THERE,ta-lá;
there are seventy people here,Alhe ts'okeLh-sha' -aLe
They,Nenilhie
They,"nan-etl-ya, kw-si-a-hal-tün"
THEY,"nan-étl-ya, kw'si′a-hál-tün"
They're thinking,Kwenekwan-s
THIEF,kán-kan
Thigh,Slholech
Thighs,kat-chat-chs
Thimble berry,Teqwem
THING,"_things_, stang;"
Think,Kwenekwan
THIS,ti′et-hla
This is my mom,Sie ne tan
This is my nephew,Tie ne stikwen
This is my niece,Sie ne stikwen
This is my older brother,Tie ne sheyelh
This work is done,Kwel hoy' etie schay'
Thorns,chit-tüm-mäs
Thou,nükw
THOU,nükw;
THOUSAND,o-pántsh
THREAD,"_twine_, hwé-lum"
THREE,"klikhw, kl-whái-la, kl-whält-hu"
Three,Lhixw
three buildings,lhixw -ewxw
THROAT,haung′en
Throat,Xwongen
Through,slhekws
THROW,"_to_, _as a stone_, tsi-lakh;"
THUMB,süs-táls
Thumb,Sestals
THUNDER,s'hó-hwas
Thy,ti-nük-wa
Thy knife,süns-kwân's-päl-tün
Thyself,tin-tsi-la
tim,müt.)
to Eat,iLhen
to go across,ShoqweL
to go around,KeLiset
To go around the cedar trees,Ya' Keliset tse Xepey'iLhch
to go ashore,LhaL
to go down,TL'ech
To go into the woods,Song
To go to sea,T'oL
To Hear,Xwian
to Know,Xchit
To Listen,ELanen
to Look / See,Langet
to make,Chay'
to play,Emna'
to Run,Kwoninget
to Sit,Emet
to Sleep,it't
To stand,SiLheng
to swim,Shishqwom
to talk,Qwal
to Think,Kwenekwan
to Tie something,Lhq'apet
to Train,Kwechost
to Walk,Sheteng
to Work,SChay'
to Write,XeLet
TOBACCO,smá-nüsh
TOBACCO POUCH,smá-na-shá-la
Today,Etiekey'es
TO-DAY,"ti-a-káis, ti-o-skwá-chil"
Toes,Schesen
TOES,"s'chüs'sün, snó-hwl-shin"
TO-MORROW,"kwá-chil, kwái-ikhl"
Tongue,Tixwlhs
TONGUE,té-whls
Too,Enon
Touch,Tl'apet
TRADING HOUSE _or store_,"shwui-mäl (hwi-mä-la, _to sell_)"
Trailing arbutus (_A. uva-ursi_),kwün-neltsh; _the leaves of this
TREES,ETC.:
TREES,"_forest_, s'ki-lá-lüng-hu"
TREES,_parts of_:
Trout,Ts'sqwey'
Tule or round rush,skwül-lül
twenty dollars,ts'ekwes -altxw
Two,Chese
TWO,"chus-sa, chá-sa, tch's-sält-hu"
tüghs,"_salmon trout_ (_S. Campbelli_, SUCKLEY);"
Uncle,"latl, hai'tch; (_as the nephew grows older, the uncle becomes"
UNCOVER,"_to_, küt-lést"
"UNDERSTAND,",-
URINATE,"ché-wa. (_This applies to either sex, there not being a"
Village Point,SkyLekshen
Vine maple (_A. circinata_),shé-chülp
Vine Maple Tree,Tlekaiex-ilhch
W. N. W.,tent-sa-lük
Walk,Sheteng
WALK,"_to_, s-tüng, sh-tüng"
WANT,"_to_, sklé;"
Warblers,hu-hwül-lüsh
WARM,"kwass, kwá-lüs"
Warm / Hot,Kwaeles
WARRIOR,"nus-chang-kün, mich-kül′lo-wütl"
WASH,"_to_, (_the hands_), tsük-sé-sümg;"
Watch out,Lengesot
Watch out for everyone,Lengesot-cho'
WATER,kaukh
Water,Qwo'
WAVES,skwüt-la-lák-ün
We,"minglkt, kl-ming′ülkh"
WE,"ninglkh, kl-ning-ülkh"
Weasel,kül-ké-la
Weather,Skwey'eLe
Were you busy?,Ts'ats'ep -le-e-sxw
Were you busy yesterday?,Ts'ats'ep -le-e-sxw kw'chelaq'lh
West,ste-wüt
West Shore Village,T'Lopi
West sound,A'le'leng
West wind,Stiwet
WET,"klük-sét, tsa-müng"
Whale,Qwenes
WHAT,"stäng, stäng-wüt;"
What,Stang
What are you doing?,E-stong-et-sxw-och
What day is it?,Stang-och etiekey'es
What do you want?,Stang kw-en stli'
What is his name? / What is her name? / What is it's name?,Wat-s sna'
What is your name?,Wat kw-en sna'
Whelk,sük-kwái-yükh
When,Chentang
When did you go?,Chentang-le- ya'-e-sxw
When is the winter dance?,Chentang tse smilhe
When will you go?,Chentang-se- ya'-e-sxw
Where,Exin
Where,Itxwixwen
Where,Txwin
WHERE,a-hén;
Where is my grand child,Itxwixwen ne inges
Where is Sunshine?,Txwin-s Lha-qua-mia
Where is your paper?,Exin tse en pipe
Where were you?,Itxwixwen-le-e-sxw
Where were you yesterday?,Txwin-le-e-sxw kw'chelaq'lh
Whirl wind / Whirl Pool,Schonges
WHISTLE,"_to_, sh-pi-lás"
white,peq'
WHITE,pük'h
White,Peq'
White,pük′h
White fir (_A. grandis_),sko′-me-yüks
WHO,"wät, wat;"
Who,Wat
Who's that?,Nilh wat
WIFE,n'stá-lush (_same as husband_)
Wife,_idem_
Wild Cherry Tree,Skweseng-ilhch
Wild onion,swél-nitsh
Wild pea,hüm-kwai-á-sin
Wild rye,pshai
Willow,swül-létsh
Willow bark (_used for making seines_),swá-lakh
Willow Tree,Sxwole-ilhch
WIND,st-châng
Wind,P'xweLe
Wind dried fish,Lhitses
Wind-pipe,hwang-ün
Wing,"ki-ka′al, sk-ká-al"
WINGS,sk-käl
Winter,Chen-ts'ixweng
Winter,Chen Ts'ixweng
Winter,"chints-é-hüm, chin-sá-tütsh, sá-titsh"
WIPE,"_to_, (_the face_), nu-hwa-chá-süng;"
Wolf,Steqey'e
WOLF,st-kái-ükh
Wolf,st'kái-ya
WOMAN,slá-ni
WOOD,s'chütl;
Wood fern,s'hä-lüm
Woodpeckers,"logcock, skwül-lüt′tün;"
Work,Schay'
WORK (_do_,"_make_), chái"
WORTHLESS,kl-hül-o-_á_s
Wren,te′ti-tüm
WRESTLE,"_to_, tsäl-tüng"
Write,Xelet
WRITE,"_to_, hül′lüt"
Write these words.,Xelet etie sqwal
Write these words now.,Kwel xelet etie sqwal
Yarrow (_Achillia multifolia_),pül-lé-a-kwütsh; (_it is used to
YAWN,"_to_, we′a-küs"
YE,"YOU, nük-kwé-li-é"
Ye,nük-kwé-li-e
year,Chelanen
YELLOW,"n's-kwül-la-wün, nük-wai"
yellow,nekwey'
Yellow,Neqwey'
Yellow,"n's-kwül-la-wün, nük-wái"
Yellow Jacket,Q'emqemichen
Yellowish green,Ts'epopeL
Yellow-shank Snipe,skük-ka′-ye
YES,a-áh;
Yes! it is good to see you this morning,Aa'a Su'itu' ey' kw-ens langnonget etie skwechil
YESTERDAY,chi-lak'hl
Yew,tlng-kálsh
Yew Wood,Tl'engq'-ilhch
You,Sxw
YOUNG,s'hwé-wils
Younger sibling,Se'ey'chen
Your,En
Your / You,En
Your house,tsüng a′nüng hä-la
yó-mutsh,"_S. quinnat_, RICH.;"
Yūtl-ma,"_or_ Shwâ-mat-wun, _the spirit that presides over good"
